ORDINE_CODICE_ATECO_2025,CODICE_ATECO_2025,TITOLO_ITALIANO_ATECO_2025,TITOLO_INGLESE_ATECO_2025,TITOLO_TEDESCO_ATECO_2025,GERARCHIA_ATECO_2025,CODICE_PADRE_ATECO_2025,GERARCHIA_PADRE_ATECO_2025
3046,91.41.00,Attività di orti botanici e giardini zoologici,Botanical and zoological garden activities,Botanische und zoologische Gärten,6,91.41.0,5
3047,91.42,Attività di riserve e parchi naturali,Nature reserve activities,Naturparks,4,91.4,3
3048,91.42.0,Attività di riserve e parchi naturali,Nature reserve activities,Naturparks,5,91.42,4
3049,91.42.00,Attività di riserve e parchi naturali,Nature reserve activities,Naturparks,6,91.42.0,5
3050,92,"Attività di scommesse, lotterie e altri giochi d'azzardo",Gambling and betting activities,"Spiel-, Wett- und Lotteriewesen",2,S,1
3051,92.0,"Attività di scommesse, lotterie e altri giochi d'azzardo",Gambling and betting activities,"Spiel-, Wett- und Lotteriewesen",3,92,2
3052,92.00,"Attività di scommesse, lotterie e altri giochi d'azzardo",Gambling and betting activities,"Spiel-, Wett- und Lotteriewesen",4,92.0,3
3053,92.00.0,"Attività di scommesse, lotterie e altri giochi d'azzardo",Gambling and betting activities,"Spiel-, Wett- und Lotteriewesen",5,92.00,4
3054,92.00.01,Gestione di apparecchi che consentono vincite in denaro funzionanti a moneta o a gettone,Operation (exploitation) of coin- or token-operated gambling machines,"Betrieb von Glücksspielautomaten mit Münzen- oder Wertmarkeneinwurf, die keine Geldgewinne vorsehen",6,92.00.0,5
3055,92.00.09,"Altre attività di scommesse, lotterie e altri giochi d'azzardo",Other gambling and betting activities,"Sonstige Tätigkeiten im Spiel-, Wett- und Lotteriewesen",6,92.00.0,5
3056,93,"Attività sportive, di intrattenimento e divertimento",Sports activities and amusement and recreation activities,"Erbringung von Dienstleistungen des Sports, der Unterhaltung und der Erholung",2,S,1
3057,93.1,Attività sportive,Sports activities,Erbringung von Dienstleistungen des Sports,3,93,2
3058,93.11,Gestione di impianti sportivi,Operation of sports facilities,Betrieb von Sportanlagen,4,93.1,3
3059,93.11.1,Gestione di piscine,Operation of swimming pools,Betrieb von Schwimmbädern,5,93.11,4
3060,93.11.10,Gestione di piscine,Operation of swimming pools,Betrieb von Schwimmbädern,6,93.11.1,5
3061,93.11.9,Gestione di altri impianti sportivi,Operation of other sports facilities,Betrieb von sonstigen Sportanlagen,5,93.11,4
3062,93.11.90,Gestione di altri impianti sportivi,Operation of other sports facilities,Betrieb von sonstigen Sportanlagen,6,93.11.9,5
3063,93.12,Attività dei club sportivi,Activities of sports clubs,Sportvereine,4,93.1,3
3064,93.12.0,Attività dei club sportivi,Activities of sports clubs,Sportvereine,5,93.12,4
3065,93.12.00,Attività dei club sportivi,Activities of sports clubs,Sportvereine,6,93.12.0,5
3066,93.13,Attività dei centri di fitness,Activities of fitness centres,Fitnesszentren,4,93.1,3
3067,93.13.0,Attività dei centri di fitness,Activities of fitness centres,Fitnesszentren,5,93.13,4
3068,93.13.01,"Attività di studi di yoga, pilates e Tai Chi","Activities of yoga, pilates and tai chi studios","Yoga-, Pilates- und Tai-Chi-Zentren",6,93.13.0,5
3069,93.13.09,Altre attività dei centri di fitness,Other activities of fitness centres,Sonstige Fitnesszentren,6,93.13.0,5
3070,93.19,Attività sportive n.c.a.,Sports activities n.e.c.,Erbringung von Dienstleistungen des Sports a. n. g.,4,93.1,3
3071,93.19.1,Attività di organizzazioni ed enti sportivi e promozione di eventi sportivi,Activities of sport governing bodies and activities related to promotion of sporting events,Körperschaften und Vereinigungen im Sportbereich und in der Organisation von Sportveranstaltungen,5,93.19,4
3072,93.19.10,Attività di organizzazioni ed enti sportivi e promozione di eventi sportivi,Activities of sport governing bodies and activities related to promotion of sporting events,Körperschaften und Vereinigungen im Sportbereich und in der Organisation von Sportveranstaltungen,6,93.19.1,5
3073,93.19.9,Altre attività sportive n.c.a.,Other sports activities n.e.c.,Erbringung von sonstigen Dienstleistungen des Sports a. n. g.,5,93.19,4
3074,93.19.91,Attività di ricarica di bombole per attività subacquee,Refilling of scuba diving tanks activities,Nachfüllen von Sauerstoffflaschen für Taucher,6,93.19.9,5
3075,93.19.92,Attività di guida alpina,Activities of mountain guides,Bergführer,6,93.19.9,5
3076,93.19.93,Attività di guida di pesca,Activities of fishing guides,Angelführer,6,93.19.9,5
3077,93.19.99,Altre attività sportive varie n.c.a.,Other various sports activities n.e.c.,Erbringung von allen anderen Dienstleistungen des Sports a. n. g.,6,93.19.9,5
3078,93.2,Attività di intrattenimento e divertimento,Amusement and recreation activities,Erbringung von sonstigen Dienstleistungen der Unterhaltung und der Erholung,3,93,2
3079,93.21,Attività dei parchi di divertimento e dei parchi tematici,Activities of amusement parks and theme parks,Vergnügungs- und Themenparks,4,93.2,3
3080,93.21.0,Attività dei parchi di divertimento e dei parchi tematici,Activities of amusement parks and theme parks,Vergnügungs- und Themenparks,5,93.21,4
3081,93.21.00,Attività dei parchi di divertimento e dei parchi tematici,Activities of amusement parks and theme parks,Vergnügungs- und Themenparks,6,93.21.0,5
3082,93.29,Attività di intrattenimento e divertimento n.c.a.,Amusement and recreation activities n.e.c.,Erbringung von sonstigen Dienstleistungen der Unterhaltung und der Erholung a. n. g.,4,93.2,3
3083,93.29.1,Gestione di piste e sale da ballo,Operation of dance floors and ballrooms,Betrieb von Tanzlokalen,5,93.29,4
3084,93.29.10,Gestione di piste e sale da ballo,Operation of dance floors and ballrooms,Betrieb von Tanzlokalen,6,93.29.1,5
3085,93.29.2,Gestione di stabilimenti balneari,Operation of bathing beaches,Betrieb von Badeanstalten,5,93.29,4
3086,93.29.20,Gestione di stabilimenti balneari,Operation of bathing beaches,Betrieb von Badeanstalten,6,93.29.2,5
3087,93.29.3,Gestione di apparecchi da intrattenimento che non consentono vincite in denaro funzionanti a moneta o a gettone,Operation of coin-operated or token-operated non-money-winning amusement machines,"Betrieb von Unterhaltungsspielgeräten mit Münzen- oder Wertmarkeneinwurf, die keine Geldgewinne vorsehen",5,93.29,4
3088,93.29.30,Gestione di apparecchi da intrattenimento che non consentono vincite in denaro funzionanti a moneta o a gettone,Operation of coin-operated or token-operated non-money-winning amusement machines,"Betrieb von Unterhaltungsspielgeräten mit Münzen- oder Wertmarkeneinwurf, die keine Geldgewinne vorsehen",6,93.29.3,5
3089,93.29.9,Altre attività di intrattenimento e divertimento n.c.a.,Other amusement and recreation activities n.e.c.,Erbringung von sonstigen weiteren Dienstleistungen der Unterhaltung und der Erholung a. n. g.,5,93.29,4
3090,93.29.91,Gestione di attrazioni e attività di spettacolo in forma itinerante,Non-permanent and non-site-based operation of a variety of attractions,Betrieb von wandernden Attraktionen und Schauspieltätigkeiten,6,93.29.9,5
3091,93.29.99,Altre attività varie di intrattenimento e divertimento n.c.a.,Other various amusement and recreation activities n.e.c.,Erbringung von allen anderen Dienstleistungen der Unterhaltung und der Erholung a. n. g.,6,93.29.9,5
3092,T,ALTRE ATTIVITÀ DI SERVIZI,OTHER SERVICE ACTIVITIES,ERBRINGUNG VON SONSTIGEN DIENSTLEISTUNGEN,1,,
3093,94,Attività delle organizzazioni associative,Activities of membership organisations,"Interessenvertretungen sowie kirchliche und sonstige religiöse Vereinigungen, ohne Sozialwesen und Sport",2,T,1
3094,94.1,"Attività di organizzazioni di imprese, dei datori di lavoro e professionali","Activities of business, employers and professional membership organisations","Wirtschafts- und Arbeitgeberverbände, Berufsorganisationen",3,94,2
3095,94.11,Attività di organizzazioni di imprese e dei datori di lavoro,Activities of business and employers membership organisations,Wirtschafts- und Arbeitgeberverbände,4,94.1,3
3096,94.11.0,Attività di organizzazioni di imprese e dei datori di lavoro,Activities of business and employers membership organisations,Wirtschafts- und Arbeitgeberverbände,5,94.11,4
3097,94.11.00,Attività di organizzazioni di imprese e dei datori di lavoro,Activities of business and employers membership organisations,Wirtschafts- und Arbeitgeberverbände,6,94.11.0,5
3098,94.12,Attività delle organizzazioni professionali,Activities of professional membership organisations,Berufsorganisationen,4,94.1,3
3099,94.12.1,Attività di ordini e collegi professionali,Activities of professional membership organisations whose membership as members is essential for the practice of the profession,Berufskammern und -kollegien,5,94.12,4
3100,94.12.10,Attività di ordini e collegi professionali,Activities of professional membership organisations whose membership as members is essential for the practice of the profession,Berufskammern und -kollegien,6,94.12.1,5
3101,94.12.2,Attività di associazioni professionali,Activities of other professional membership organisations,Berufsverbände,5,94.12,4
3102,94.12.20,Attività di associazioni professionali,Activities of other professional membership organisations,Berufsverbände,6,94.12.2,5
3103,94.2,Attività dei sindacati di lavoratori,Activities of trade unions,Arbeitnehmervereinigungen,3,94,2
3104,94.20,Attività dei sindacati di lavoratori,Activities of trade unions,Arbeitnehmervereinigungen,4,94.2,3
3105,94.20.0,Attività dei sindacati di lavoratori,Activities of trade unions,Arbeitnehmervereinigungen,5,94.20,4
3106,94.20.00,Attività dei sindacati di lavoratori,Activities of trade unions,Arbeitnehmervereinigungen,6,94.20.0,5
3107,94.9,Attività di altre organizzazioni associative,Activities of other membership organisations,Kirchliche Vereinigungen; politische Parteien sowie sonstige Interessenvertretungen und Vereinigungen,3,94,2
3108,94.91,Attività delle organizzazioni religiose,Activities of religious organisations,Kirchliche und sonstige religiöse Vereinigungen,4,94.9,3
3109,94.91.0,Attività delle organizzazioni religiose,Activities of religious organisations,Kirchliche und sonstige religiöse Vereinigungen,5,94.91,4
3110,94.91.00,Attività delle organizzazioni religiose,Activities of religious organisations,Kirchliche und sonstige religiöse Vereinigungen,6,94.91.0,5
3111,94.92,Attività delle organizzazioni politiche,Activities of political organisations,Politische Parteien und Vereinigungen,4,94.9,3
3112,94.92.0,Attività delle organizzazioni politiche,Activities of political organisations,Politische Parteien und Vereinigungen,5,94.92,4
3113,94.92.00,Attività delle organizzazioni politiche,Activities of political organisations,Politische Parteien und Vereinigungen,6,94.92.0,5
3114,94.99,Attività di altre organizzazioni associative n.c.a.,Activities of other membership organisations n.e.c.,Sonstige Interessenvertretungen und Vereinigungen a. n. g.,4,94.9,3
3115,94.99.1,Attività di organizzazioni associative per la tutela degli interessi e dei diritti dei cittadini,Activities of organisations for the protection of citizens and consumers,Vereinigungen zum Schutz der Bürgerinteressen und -rechte,5,94.99,4
3116,94.99.10,Attività di organizzazioni associative per la tutela degli interessi e dei diritti dei cittadini,Activities of organisations for the protection of citizens and consumers,Vereinigungen zum Schutz der Bürgerinteressen und -rechte,6,94.99.1,5
3117,94.99.2,Attività di organizzazioni associative culturali e ricreative,Activities of cultural and recreational organisations,Kultur- und Freizeitvereine,5,94.99,4
3118,94.99.20,Attività di organizzazioni associative culturali e ricreative,Activities of cultural and recreational organisations,Kultur- und Freizeitvereine,6,94.99.2,5
3119,94.99.3,Attività di organizzazioni associative a scopo patriottico,Activities of organisations for patriotic purposes,Vereinigungen mit patriotischen Zielsetzungen,5,94.99,4
3120,94.99.30,Attività di organizzazioni associative a scopo patriottico,Activities of organisations for patriotic purposes,Vereinigungen mit patriotischen Zielsetzungen,6,94.99.3,5
3121,94.99.4,Attività di organizzazioni associative per la cooperazione internazionale,Activities of international cooperation and solidarity organisations,Vereinigungen für die internationale Zusammenarbeit und Solidarität,5,94.99,4
3122,94.99.40,Attività di organizzazioni associative per la cooperazione internazionale,Activities of international cooperation and solidarity organisations,Vereinigungen für die internationale Zusammenarbeit und Solidarität,6,94.99.4,5
3123,94.99.5,Attività di organizzazioni associative filantropiche,Activities of philanthropic and voluntarism promotion organisations,Philanthropische Vereinigungen,5,94.99,4
3124,94.99.50,Attività di organizzazioni associative filantropiche,Activities of philanthropic and voluntarism promotion organisations,Philanthropische Vereinigungen,6,94.99.5,5
3125,94.99.6,Attività di organizzazioni associative per la promozione e la difesa degli animali e dell'ambiente,Activities of organisations for the protection of environmental and animals,Tier- und Umweltschutzvereine,5,94.99,4
3126,94.99.60,Attività di organizzazioni associative per la promozione e la difesa degli animali e dell'ambiente,Activities of organisations for the protection of environmental and animals,Tier- und Umweltschutzvereine,6,94.99.6,5
3127,94.99.9,Attività di altre organizzazioni associative varie n.c.a.,Activities of other various membership organisations n.e.c.,Sonstige verschiedene Interessenvertretungen und Vereinigungen a. n. g.,5,94.99,4
